"Age","Delay","Sex","Education","Movie_Language","English_Level","Immersion","Frequency_3D","Characters_Familiarity","Enjoyment","Memory","Memory_Global","Presence","Emotion","Interoception"
27.6638351966554,1,"Female",3,"VO-STFR",3,"2D",3,5,5,60,0.504820190495358,4.22222222222222,3.66666666666667,4.66666666666667
30.2703248153426,1,"Male",3,"VO-STFR",6,"2D",1,6,3,72,0.712067779435731,3.77777777777778,4.33333333333333,NA
29.1340924710619,2,"Female",3,"VO-STFR",4,"2D",1,4,2,40,-0.32820218783896,2.55555555555556,3,4
23.1736640047992,2,"Female",3,"VO-STFR",7,"2D",5,5,6,60,0.424081782877277,3.22222222222222,4.66666666666667,6.33333333333333
34.8316816480453,3,"Male",3,"VO-STFR",4,"2D",1,5,2,44,0.310279397375647,1.66666666666667,2,4.66666666666667
25.6131411584235,4,"Female",3,"VO-STFR",6,"3D",4,4,6,56,0.121578146367763,4.22222222222222,5,6.66666666666667
23.9101615966341,5,"Male",2,"VF",3,"2D",3,6,5,44,-0.12241384571731,4.88888888888889,4.33333333333333,2.66666666666667
15.551324615697,1,"Male",0,"VF",4,"2D",4,7,6,56,0.213924339234605,4.33333333333333,3.66666666666667,2.66666666666667
18.4206535236636,4,"Male",1,"VF",7,"3D",1,7,7,64,0.605980018668728,5.88888888888889,5,3.33333333333333
21.0326189608775,6,"Male",2,"VF",5,"3D",4,4,4,60,0.230715458479057,3.66666666666667,2.33333333333333,5
26.4536793022648,6,"Male",2,"VO-STFR",6,"2D",1,7,7,68,0.455793918280538,6.33333333333333,4.66666666666667,4.33333333333333
21.7061446396559,6,"Male",1,"VO-STFR",7,"2D",2,7,6,68,0.732380478649765,5.22222222222222,4.33333333333333,5.33333333333333
24.7041552829989,6,"Male",2,"VO-STFR",6,"2D",2,7,6,60,0.303674542240485,5.11111111111111,5.33333333333333,4.33333333333333
28.4386635181769,6,"Male",3,"VO-STFR",6,"2D",2,7,2,60,0.385852392880598,2.33333333333333,2.33333333333333,3.66666666666667
16.9859890696803,1,"Male",0,"VF",7,"3D",3,6,6,64,0.749434741426383,5.55555555555556,5.33333333333333,2.33333333333333
20.3317141894658,6,"Female",2,"VF",7,"3D",4,6,7,76,0.75348708888743,4.11111111111111,4.66666666666667,4
29.6570331403574,3,"Male",2,"VF",6,"3D",2,5,1,60,0.324264677083145,1.33333333333333,2,3.33333333333333
21.4323537133232,0,"Male",2,"VF",5,"2D",1,7,7,76,1.18842892616212,5.22222222222222,6.33333333333333,4.33333333333333
28.1922516844775,6,"Male",2,"VF",4,"3D",1,7,3,44,-0.138938437001747,2.55555555555556,3.33333333333333,4.33333333333333
48.4226632312002,2,"Male",3,"VO-STFR",6,"3D",4,6,5,60,0.599469356058745,3.33333333333333,3.33333333333333,5.33333333333333
22.4180010481209,7,"Male",3,"VF",5,"3D",3,5,5,36,-0.49855910587435,3.88888888888889,4,3.66666666666667
21.4350916225866,1,"Male",2,"VF",5,"3D",6,5,6,64,0.821672679569671,5.22222222222222,4.66666666666667,4.33333333333333
23.9649197819007,4,"Female",3,"VO-STFR",7,"2D",1,5,3,68,1.03063498202295,1.88888888888889,2,4.66666666666667
28.4742563386001,5,"Male",1,"VF",2,"2D",2,3,5,48,-0.0517562869724164,2.22222222222222,4,4
18.5301698941967,1,"Male",2,"VO-STFR",6,"3D",3,6,5,64,0.280373591920961,4.55555555555556,3.66666666666667,5
23.5733987572449,7,"Female",3,"VO-STFR",7,"3D",1,7,7,52,-0.190919263431464,6.55555555555556,6,5.33333333333333
28.8356603613593,4,"Male",3,"VO-STFR",5,"2D",2,6,5,76,1.03842892616212,4.66666666666667,3.66666666666667,5
24.5344049086727,5,"Male",3,"VO-STFR",6,"3D",2,3,5,56,0.317984933608608,4.22222222222222,3.66666666666667,3.33333333333333
19.6828296940573,3,"Male",2,"VF",7,"2D",4,7,6,56,0.541870306553862,4.77777777777778,5,5.33333333333333
23.1764019140625,7,"Male",0,"VF",4,"2D",4,7,6,56,0.131949393933354,6.11111111111111,5,6.66666666666667
26.7083048637543,2,"Male",1,"VO-STFR",5,"2D",1,7,6,64,0.395431754646268,4.77777777777778,4.66666666666667,4
31.3600127021467,2,"Male",2,"VO-STFR",7,"2D",4,6,6,56,0.315140521677318,5.11111111111111,5,3.66666666666667
25.6514718881101,2,"Male",1,"VO-STFR",6,"3D",3,6,5,76,1.19781853288852,4.55555555555556,4.33333333333333,3
23.3160352864922,3,"Male",1,"VO-STFR",5,"3D",3,6,4,52,0.141131958718294,3.33333333333333,4,6
29.7857148757337,7,"Female",3,"VF",4,"2D",3,6,5,56,0.385140559348853,2.88888888888889,4.33333333333333,5
23.4146000199719,6,"Male",3,"VO-STFR",6,"3D",5,7,5,40,-0.354736663535303,6.66666666666667,2.66666666666667,7
30.826120395798,2,"Male",3,"VO-STFR",7,"3D",7,7,5,76,1.16621078992993,3,2.66666666666667,2.33333333333333
27.0587572494601,3,"Male",3,"VO-STFR",4,"3D",3,6,6,52,0.113277575552713,3.44444444444444,4.66666666666667,3.33333333333333
18.0318704082712,4,"Male",0,"VF",5,"2D",3,6,6,76,0.838428926162123,2.66666666666667,5,4
23.9567060541107,3,"Female",3,"VF",6,"3D",3,6,6,48,-0.0726465842775721,5.66666666666667,4.66666666666667,4.33333333333333
19.4829623178345,0,"Male",1,"VF",2,"2D",1,5,3,68,1.02237506367443,3.11111111111111,2,5.33333333333333
22.5959651502372,1,"Male",2,"VF",5,"2D",1,6,2,80,1.10722966514725,3,2.33333333333333,4.66666666666667
22.7766671616168,5,"Female",2,"VO-STFR",7,"2D",1,7,6,52,0.395330723608129,3,3,3.66666666666667
27.9294123951981,7,"Male",2,"VF",5,"3D",4,7,6,56,0.30189817561184,4.88888888888889,5.33333333333333,4.33333333333333
19.1379857506553,7,"Male",1,"VF",6,"3D",1,6,6,64,0.345679272824176,6.44444444444444,4.66666666666667,2.33333333333333
23.231160099329,5,"Male",3,"VO-STFR",5,"2D",4,7,6,76,0.988428926162123,4.66666666666667,4,2.66666666666667
38.49774215164,4,"Male",2,"VF",5,"3D",2,7,4,36,-0.515862041042289,2.66666666666667,3.66666666666667,6.33333333333333
20.7259731233849,1,"Female",1,"VO-STFR",2,"3D",2,2,5,48,-0.246293345288642,4,5.33333333333333,5.66666666666667
21.5692491764896,4,"Male",1,"VO-STFR",5,"3D",5,7,7,40,-0.435342500804922,6.77777777777778,6.66666666666667,5.33333333333333
24.8793814758519,5,"Male",1,"VF",5,"2D",1,7,7,60,0.418975538089313,6.11111111111111,3.66666666666667,2.33333333333333
19.529506775311,2,"Female",1,"VO-STFR",7,"3D",3,4,5,56,0.275057443335115,3.33333333333333,4.33333333333333,3.33333333333333
15.8880874550862,2,"Male",0,"VO-STFR",5,"3D",7,7,5,72,0.650831187411037,4.11111111111111,4.33333333333333,1
23.0066515397362,3,"Female",1,"VO-STFR",5,"2D",1,6,6,56,0.331250597431614,4.77777777777778,4.66666666666667,6.66666666666667
21.1558248777272,6,"Female",1,"VF",2,"3D",2,7,7,32,-0.448213243759489,3.22222222222222,4.33333333333333,5
19.4555832252012,6,"Female",1,"VF",6,"2D",2,6,6,76,0.952715186336327,3.77777777777778,4.66666666666667,1.33333333333333
19.0914412931787,4,"Male",1,"VF",4,"3D",5,4,6,72,1.09524602178255,4,2.66666666666667,2
21.9060120158788,8,"Male",2,"VF",6,"3D",2,7,7,72,1.09524602178255,6.33333333333333,5.66666666666667,5.66666666666667
20.9011993162378,9,"Male",2,"VO-STFR",3,"2D",1,7,7,64,0.499687875423811,6.55555555555556,7,5
16.9449204307304,4,"Male",1,"VF",6,"2D",1,7,5,72,0.851319573830166,3.22222222222222,4.33333333333333,1.66666666666667
39.7927732331937,5,"Male",0,"VF",5,"2D",1,7,2,44,-0.213384182061346,1,2.33333333333333,2.33333333333333
25.5200522434704,18,"Male",2,"VF",7,"2D",7,7,7,64,0.446126573663777,6.11111111111111,6.66666666666667,2
27.7487103838185,9,"Male",1,"VO-STFR",7,"2D",3,7,4,48,0.277381221372087,5.44444444444444,4.66666666666667,4
22.4837108704408,0,"Male",3,"VF",5,"2D",4,5,6,68,0.695897520336238,5.66666666666667,4,2.66666666666667
23.1490228214292,1,"Male",2,"VF",5,"2D",1,5,4,36,-0.583622917729329,4.33333333333333,2.33333333333333,5
41.1918448667537,1,"Male",3,"VF",7,"2D",1,7,7,56,0.305840000501208,6,6,5.33333333333333
16.3809111224851,4,"Male",0,"VF",5,"2D",3,7,6,68,0.476528926492008,4.88888888888889,4.66666666666667,4.66666666666667
18.1578142343842,11,"Male",0,"VO-STFR",6,"2D",2,7,7,72,0.731148548657817,5.77777777777778,5.33333333333333,5.66666666666667
18.3877986125037,NA,"Female",1,"VO-STFR",5,"2D",5,6,6,52,-0.0472039226758104,4.44444444444444,5,4.33333333333333
25.1942410411345,0,"Male",2,"VO-STFR",6,"2D",4,7,7,68,0.520455374444396,6.44444444444444,6,3.33333333333333
32.8932418896098,1,"Male",2,"VO-STFR",4,"3D",5,6,5,52,-0.0982001876961999,4.77777777777778,4.33333333333333,6.66666666666667
20.9559575015044,10,"Male",1,"VO-STFR",6,"3D",3,2,5,44,-0.358477657552149,4.33333333333333,4,6
30.8918302181178,4,"Female",4,"VO-STFR",7,"2D",1,7,2,56,0.50176757501948,1.33333333333333,2.66666666666667,6.33333333333333
41.2958854187602,1,"Female",3,"VO-STFR",7,"3D",4,5,4,72,0.646047825625543,3.44444444444444,3.66666666666667,4.33333333333333
27.819896024665,1,"Male",3,"VO-STFR",7,"2D",1,7,6,76,1.19781853288852,4.55555555555556,4.33333333333333,5
27.819896024665,1,"Male",3,"VO-STFR",7,"2D",1,7,6,76,1.19781853288852,4.55555555555556,4.33333333333333,5
31.9815181049219,1,"Male",4,"VO-STFR",5,"2D",2,6,6,76,1.03842892616212,3.55555555555556,5,1.33333333333333
40.2417903523793,2,"Male",3,"VO-STFR",6,"3D",1,2,6,32,-0.550439395817011,3,2.33333333333333,6.33333333333333
26.7411597749142,1,"Male",1,"VO-STFR",6,"2D",3,6,4,76,1.16621078992993,2.88888888888889,2,4
17.1831185366398,11,"Male",0,"VF",6,"3D",4,7,4,64,0.703056036569253,3.77777777777778,3.66666666666667,4
34.1499422414769,NA,"Female",3,"VO-STFR",7,"3D",7,6,6,76,1.04478599434171,2.66666666666667,5,4
25.1915031318711,13,"Male",3,"VF",7,"3D",4,5,4,52,0.2045845501176,4.22222222222222,2.66666666666667,4.66666666666667
24.0251537856939,3,"Male",3,"VO-STFR",6,"2D",1,6,5,64,0.630879805056914,4.66666666666667,5,4.33333333333333
41.9885764623819,7,"Male",2,"VF",5,"3D",4,7,5,64,0.303607697086264,3.66666666666667,4,7
23.5898262128249,7,"Male",3,"VF",5,"3D",4,5,4,44,-0.319738678181646,1.88888888888889,3,5.33333333333333
15.9236802755095,1,"Male",0,"VF",5,"2D",3,7,6,84,0.898470601821859,6.22222222222222,5.33333333333333,4
21.8430401028223,11,"Female",3,"VF",5,"2D",1,6,5,40,-0.453617480111265,5.44444444444444,5,5.66666666666667
19.9319794370201,11,"Male",1,"VF",4,"3D",3,4,4,32,-0.519761205250986,5.55555555555556,3.66666666666667,3.66666666666667
31.3381094280401,16,"Male",3,"VO-STFR",7,"2D",3,7,7,84,0.898470601821859,6.88888888888889,7,4
28.3373608754338,12,"Male",3,"VO-STFR",4,"2D",1,7,5,40,-0.426879800444885,3.88888888888889,4.33333333333333,5.33333333333333
27.6802626522353,15,"Male",3,"VF",7,"3D",6,7,7,76,0.850354030367491,3.33333333333333,4.66666666666667,4.33333333333333
22.9902240841563,12,"Male",2,"VF",5,"3D",2,7,7,56,0.162288193273005,5.44444444444444,6.33333333333333,5
31.8966429177588,15,"Female",3,"VF",5,"3D",3,5,3,64,0.820652284529377,4,3.33333333333333,3
26.1059648258223,4,"Male",3,"VF",4,"2D",2,6,6,56,0.281516286846765,4.44444444444444,5.33333333333333,3
34.6318142718224,4,"Male",3,"VF",7,"2D",3,7,6,64,0.552798006327098,2.66666666666667,2,2
45.3260878543774,12,"Male",1,"VF",5,"3D",4,7,6,48,-0.188957405434348,2.22222222222222,5,6
24.1921662507568,13,"Male",2,"VF",6,"2D",4,7,7,48,-0.0549059718930476,5,5.33333333333333,4.33333333333333
28.9698179152623,2,"Female",3,"VF",6,"2D",2,7,4,72,0.798553421812631,3,3.33333333333333,6.33333333333333
19.3460668546681,2,"Male",2,"VF",5,"2D",2,6,7,76,0.802715186336327,5.77777777777778,4.33333333333333,5
38.0186080305578,2,"Male",2,"VF",6,"3D",4,6,7,52,-0.0916680503908011,5.44444444444444,4,6.33333333333333
41.1370866814872,7,"Male",3,"VO-STFR",4,"3D",3,7,2,48,0.00317945963353275,3.33333333333333,3,5.33333333333333
28.4660426108101,2,"Male",2,"VF",7,"2D",1,6,6,40,-0.317397538434982,5.55555555555556,5,5
31.1875244185571,6,"Male",2,"VO-STFR",7,"3D",6,7,5,52,-0.0434937814555543,4.88888888888889,5,5.66666666666667
24.1921662507568,11,"Female",3,"VF",4,"3D",2,4,5,56,0.33138628141555,4.11111111111111,4,3.33333333333333
26.2948805649919,2,"Female",3,"VO-STFR",4,"2D",1,6,5,40,-0.415218929458513,1.88888888888889,4,6
25.1887652226078,14,"Male",3,"VO-STFR",7,"3D",6,7,7,56,0.00373519551699219,4.11111111111111,5.66666666666667,3.33333333333333
33.2354805475257,11,"Male",2,"VF",5,"3D",4,6,6,68,0.480318151097609,5.44444444444444,5.33333333333333,5
20.5042024730554,11,"Female",2,"VO-STFR",6,"3D",5,7,7,80,1.0958980907159,4.33333333333333,4,4
27.5762221002289,1,"Male",4,"VO-STFR",7,"3D",4,7,7,64,0.199687875423811,3.88888888888889,4.66666666666667,5.33333333333333
48.7566881613261,3,"Female",0,"VF",7,"2D",4,6,2,24,-0.686720871416297,4.11111111111111,4.66666666666667,6.33333333333333
20.5370573842153,7,"Male",1,"VF",7,"3D",4,7,7,60,0.368429490139573,4.66666666666667,5,4.66666666666667
26.4153485725783,10,"Female",3,"VO-STFR",6,"3D",3,5,5,64,0.441561414302404,3,4.33333333333333,6
39.4395829382245,1,"Female",2,"VF",4,"2D",6,5,5,60,0.348452382900833,4.88888888888889,2.66666666666667,5.33333333333333
33.4079688311153,11,"Male",4,"VO-STFR",5,"3D",3,7,5,48,0.224896657705995,2.55555555555556,1.66666666666667,4
51.2043790427403,7,"Male",3,"VF",7,"3D",4,7,7,52,0.035827177513769,4.88888888888889,5.66666666666667,6.33333333333333
32.4387489518975,6,"Female",3,"VF",6,"3D",4,6,5,52,-0.0179791804060962,3.11111111111111,3.66666666666667,5
28.2689131438506,2,"Male",3,"VO-STFR",6,"3D",2,6,6,36,-0.109420541619567,4.11111111111111,3,2.66666666666667
23.2859182845956,2,"Male",3,"VF",6,"2D",1,7,7,72,1.06363827882397,5.66666666666667,6.33333333333333,4.66666666666667
44.2199725119933,9,"Female",3,"VF",6,"2D",2,4,1,44,-0.249609342856318,1,3.33333333333333,3.66666666666667
30.0376025279598,6,"Female",3,"VF",6,"2D",1,7,5,52,0.367999929145076,4.33333333333333,4,5.66666666666667
29.4462141270812,2,"Male",4,"VF",4,"2D",1,7,5,80,1.2236799544837,5.33333333333333,5,6
25.0819867613381,3,"Female",2,"VO-STFR",7,"3D",1,7,7,80,1.25528769744229,5.77777777777778,6,6.66666666666667
30.8206445772713,16,"Female",2,"VO-STFR",5,"3D",2,7,7,64,0.546946454169341,5.44444444444444,5.33333333333333,4.66666666666667
31.2313309667704,15,"Female",3,"VO-STFR",7,"3D",4,6,5,72,1.07944106652851,3.44444444444444,5,2.66666666666667
37.8379060191782,1,"Male",4,"VF",6,"3D",7,7,7,48,0.0531883459858005,5.88888888888889,4.66666666666667,6
16.7395772359809,15,"Male",0,"VF",5,"3D",3,6,7,72,0.786541475440931,3.88888888888889,6,4.66666666666667
29.7665495108904,1,"Female",2,"VF",3,"2D",1,7,7,56,0.187767041309696,4.33333333333333,6.33333333333333,2
21.254389611207,12,"Male",1,"VO-STFR",5,"3D",4,6,5,8,-0.98280656176366,5.55555555555556,5,3.33333333333333
20.8573927680246,15,"Male",1,"VO-STFR",2,"3D",4,6,5,68,0.773141405264912,2,4.33333333333333,6.33333333333333
23.1764019140625,1,"Female",0,"VF",5,"2D",3,7,7,76,0.894097482161035,6,5,3.33333333333333
26.8041316879707,5,"Female",3,"VO-STFR",5,"3D",5,6,6,40,-0.172466339411246,4.44444444444444,4.33333333333333,6
15.5157317952737,13,"Female",0,"VF",3,"2D",1,6,5,56,0.339308740209886,5.22222222222222,3,3
14.9708878518717,14,"Male",0,"VF",6,"2D",1,7,7,76,0.964640290541695,4.66666666666667,6,4
